ts_code,name_manual,t0_category,t0_category_cn,reason
518880.SH,黄金ETF华安,commodity,商品ETF,黄金核心
159934.SZ,黄金ETF易方达,commodity,商品ETF,黄金核心
159937.SZ,黄金ETF博时,commodity,商品ETF,黄金核心
518800.SH,黄金ETF国泰,commodity,商品ETF,黄金核心，若接口无数据会自动剔除
159985.SZ,豆粕ETF华夏,commodity,商品ETF,商品期货类
159980.SZ,有色ETF,commodity,商品ETF,商品期货类，自动校验
159981.SZ,能源化工ETF,commodity,商品ETF,商品期货类，自动校验
159518.SZ,标普油气ETF嘉实,commodity,商品ETF,油气，可能 2022 不完整
513350.SH,标普油气ETF富国,commodity,商品ETF,油气，可能 2022 不完整
513050.SH,中概互联网ETF易方达,cross_border,跨境,高波动跨境
513100.SH,纳指ETF国泰,cross_border,跨境,纳指
159941.SZ,纳指ETF广发,cross_border,跨境,纳指
513500.SH,标普500ETF博时,cross_border,跨境,标普500
159612.SZ,标普500ETF国泰,cross_border,跨境,可能 2022 不完整
513030.SH,德国ETF华安,cross_border,跨境,德国市场
513520.SH,日经ETF华夏,cross_border,跨境,日经
513000.SH,日经225ETF,cross_border,跨境,日经，自动校验
513180.SH,恒生科技ETF华夏,cross_border,跨境,港股科技
513330.SH,恒生互联网ETF华夏,cross_border,跨境,港股互联网
159792.SZ,港股通互联网ETF富国,cross_border,跨境,港股互联网
513060.SH,恒生医疗ETF博时,cross_border,跨境,港股医疗
513120.SH,港股创新药ETF广发,cross_border,跨境,可能 2022 不完整
159570.SZ,港股通创新药ETF,cross_border,跨境,可能 2022 不完整
513090.SH,香港证券ETF易方达,cross_border,跨境,港股金融
510900.SH,H股ETF易方达,cross_border,跨境,H股
159920.SZ,恒生ETF华夏,cross_border,跨境,恒生指数
511880.SH,银华日利ETF,money_market,货币,参考，不建议主动日内策略
511990.SH,华宝添益ETF,money_market,货币,参考，不建议主动日内策略
511010.SH,国债ETF,bond,债券,参考，不建议主动日内策略
511260.SH,十年国债ETF,bond,债券,参考，不建议主动日内策略
